日,延べ患者数 (人),新患初診 (人),再来初診 (人),再診 (人),訪問診療(在宅) (人),訪問診療(同建) (人),新患初診率 (％),初診率 (％)
1日(火),68,30,10,28,0,0,44.1,58.8
2日(水),85,38,15,32,0,0,44.7,62.4
3日(木),0,0,0,0,0,0,0,0
4日(金),96,40,17,39,0,0,41.7,59.4
5日(土),97,43,12,42,0,0,44.3,56.7
6日(日),0,0,0,0,0,0,0,0
7日(月),102,49,23,30,0,0,48.0,70.6
8日(火),78,29,17,32,0,0,37.2,59.0
9日(水),93,36,10,47,0,0,38.7,49.5
10日(木),0,0,0,0,0,0,0,0
11日(金),119,54,18,47,0,0,45.4,60.5
12日(土),102,50,21,31,0,0,49.0,69.6
13日(日),0,0,0,0,0,0,0,0
14日(月),218,112,55,51,0,0,51.4,76.6
15日(火),146,64,28,54,0,0,43.8,63.0
16日(水),160,92,26,42,0,0,57.5,73.8
17日(木),0,0,0,0,0,0,0,0
18日(金),157,69,31,57,0,0,43.9,63.7
19日(土),123,46,12,65,0,0,37.4,47.2
20日(日),0,0,0,0,0,0,0,0
21日(月),0,0,0,0,0,0,0,0
22日(火),138,60,22,56,0,0,43.5,59.4
23日(水),133,47,22,64,0,0,35.3,51.9
24日(木),0,0,0,0,0,0,0,0
25日(金),139,57,20,62,0,0,41.0,55.4
26日(土),101,35,12,54,0,0,34.7,46.5
27日(日),0,0,0,0,0,0,0,0
28日(月),144,63,18,63,0,0,43.8,56.3
29日(火),109,43,23,43,0,0,39.4,60.6
30日(水),132,60,9,63,0,0,45.5,52.3
31日(木),0,0,0,0,0,0,0,0
総数,2540,1117,421,1002,0,0,44.0,60.6
平均,121.0,53.2,20.0,47.7,0.0,0.0,44.0,60.6
前月,1663,736,247,680,0,0,44.3,59.1
前月比,152.7,151.8,170.4,147.4,0.0,0.0,99.4,102.4
前年同月,0,0,0,0,0,0,0.0,0.0
前年同月比,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
