月,総診療報酬 (点),レセ単価 (点),レセ枚数 (枚),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1月,1019728,925,1103,161,46,310,5,58,12,34,34,0,238,5,0,0,0,23
2月,1244398,920,1353,176,42,263,6,58,10,29,13,0,256,8,0,0,0,60
3月,1509196,718,2103,172,43,217,3,60,10,29,8,0,156,4,0,0,0,16
4月,1401962,713,1966,143,58,222,5,59,17,34,4,0,149,3,0,0,0,20
5月,1452225,756,1921,146,59,249,6,50,14,43,9,0,162,5,0,0,0,14
6月,1181296,755,1565,150,53,235,7,49,13,43,12,0,185,6,0,0,0,3
7月,1492619,962,1552,144,87,329,10,58,13,36,10,0,210,3,0,0,0,61
8月,1761228,1059,1663,154,121,287,9,59,8,26,6,0,237,5,0,0,0,148
9月,1480262,894,1656,148,81,292,11,56,7,30,6,0,210,3,0,0,0,50
10月,1772102,883,2008,149,54,352,10,59,6,38,10,0,186,7,0,0,0,12
11月,2032872,958,2123,146,74,366,10,60,6,39,10,0,195,7,0,0,0,45
12月,2070831,998,2075,135,95,370,11,60,6,35,7,0,174,7,0,0,0,99
総数,18418719,873,21088,151,68,292,8,57,10,35,10,0,192,5,0,0,0,45
前年,2822892,774,3649,178,39,226,3,56,6,37,11,0,205,12,0,0,0,0
前年比,652,113,578,85,174,129,267,102,167,95,91,0,94,42,0,0,0,0
