日,延べ患者数 (人),保険点数 (点),日当点 (点),外来収入金額 (円),窓口領収金額 (円),保険請求金額 (円),保険外収入 (円)
1日(土),131,69061,527,690610,91130,599480,0
2日(日),0,0,0,0,0,0,0
3日(月),180,104538,581,1046380,144010,901370,1000
4日(火),148,86326,583,863260,128320,730550,4390
5日(水),156,90800,582,909000,107680,785980,15340
6日(木),0,0,0,0,0,0,0
7日(金),169,94663,560,946630,141150,810770,-5290
8日(土),121,70829,585,708390,93230,611120,4040
9日(日),0,0,0,0,0,0,0
10日(月),177,102364,578,1024640,151580,872060,1000
11日(火),151,80450,533,805600,116520,687980,1100
12日(水),159,88047,554,880670,115820,758040,6810
13日(木),0,0,0,0,0,0,0
14日(金),194,115749,597,1164090,152160,1005330,6600
15日(土),141,81018,575,810180,94250,715930,0
16日(日),0,0,0,0,0,0,0
17日(月),0,0,0,0,0,0,0
18日(火),192,116002,604,1160020,151550,1008470,0
19日(水),177,106488,602,1065880,153780,911100,1000
20日(木),0,0,0,0,0,0,0
21日(金),198,120602,609,1211120,157340,1048680,5100
22日(土),127,67548,532,676480,116420,559060,1000
23日(日),0,0,0,0,0,0,0
24日(月),211,130586,619,1306960,185230,1120630,1100
25日(火),175,98502,563,992620,114130,870210,8280
26日(水),182,109017,599,1092170,159720,940840,-8390
27日(木),0,0,0,0,0,0,0
28日(金),163,92185,566,923850,149240,772610,2000
29日(土),145,92982,641,929820,133664,796156,0
30日(日),0,0,0,0,0,0,0
31日(月),174,98041,563,981410,142300,838110,1000
総数,3471,2015798,581,20189780,2799224,17344476,46080
平均,165.3,95990.4,27.7,961418.1,133296.4,825927.4,2194.3
前月,3598,2055935,571,20627150,2745560,17799770,81820
前月比,96.5,98.0,101.6,97.9,102.0,97.4,56.3
前年同月,2225,1492123,671,14931730,1797350,13109560,24820
前年同月比,156.0,135.1,86.6,135.2,155.7,132.3,185.7
