診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1368,1，368点
初診,自費,サーベイランス強化加算（初診）,1点,1,1点
初診,保険,初診料,291点,1371,398，961点
初診,自費,初診料,291点,1,291点
初診,保険,医療情報取得加算１（初診）,3点,851,2，553点
初診,自費,医療情報取得加算１（初診）,3点,1,3点
初診,保険,医療情報取得加算２（初診）,1点,517,517点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,11点,1368,15，048点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,11点,1,11点
初診,保険,外来感染対策向上加算（初診）,6点,1368,8，208点
初診,自費,外来感染対策向上加算（初診）,6点,1,6点
初診,保険,夜間・早朝等加算（初診）,50点,192,9，600点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1368,6，840点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,1,5点
初診,保険,時間外加算（初診）,85点,2,170点
初診,保険,発熱患者等対応加算（初診）,20点,705,14，100点
初診,自費,発熱患者等対応加算（初診）,20点,1,20点
初診,保険,連携強化加算（初診）,3点,1368,4，104点
初診,自費,連携強化加算（初診）,3点,1,3点
再診,保険,サーベイランス強化加算（再診）,1点,974,974点
再診,保険,再診料,75点,1629,122，175点
再診,保険,医療情報取得加算３（再診）,2点,311,622点
再診,保険,医療情報取得加算４（再診）,1点,219,219点
再診,保険,同日再診料,75点,1,75点
再診,保険,外来感染対策向上加算（再診）,6点,974,5，844点
再診,保険,外来管理加算,52点,733,38，116点
再診,保険,夜間・早朝等加算（再診）,50点,198,9，900点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,974,4，870点
再診,保険,明細書発行体制等加算,1点,1630,1，630点
再診,保険,時間外加算（再診）（入院外）,65点,2,130点
再診,保険,発熱患者等対応加算（再診）,20点,231,4，620点
再診,保険,連携強化加算（再診）,3点,974,2，922点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,5,1，400点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,171,4，275点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,580,580点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,60,3，900点
