診療区分,保険種別,診 療 行 為 名 称,点数単価 (点),回数,総点数 (点)
初診,保険,サーベイランス強化加算（初診）,1点,1389,1，389点
初診,自費,サーベイランス強化加算（初診）,1点,4,4点
初診,保険,初診料,291点,1395,405，945点
初診,自費,初診料,291点,4,1，164点
初診,保険,医療情報取得加算（初診）,1点,1389,1，389点
初診,自費,医療情報取得加算（初診）,1点,4,4点
初診,保険,医療ＤＸ推進体制整備加算１（初診）,12点,1389,16，668点
初診,自費,医療ＤＸ推進体制整備加算１（初診）,12点,4,48点
初診,保険,外来感染対策向上加算（初診）,6点,1389,8，334点
初診,自費,外来感染対策向上加算（初診）,6点,4,24点
初診,保険,夜間・早朝等加算（初診）,50点,208,10，400点
初診,自費,夜間・早朝等加算（初診）,50点,1,50点
初診,保険,抗菌薬適正使用体制加算（初診）,5点,1389,6，945点
初診,自費,抗菌薬適正使用体制加算（初診）,5点,4,20点
初診,保険,発熱患者等対応加算（初診）,20点,623,12，460点
初診,自費,発熱患者等対応加算（初診）,20点,3,60点
初診,保険,連携強化加算（初診）,3点,1389,4，167点
初診,自費,連携強化加算（初診）,3点,4,12点
再診,保険,サーベイランス強化加算（再診）,1点,1574,1，574点
再診,自費,サーベイランス強化加算（再診）,1点,1,1点
再診,保険,再診料,75点,2079,155，925点
再診,自費,再診料,75点,1,75点
再診,保険,医療情報取得加算（再診）,1点,918,918点
再診,自費,医療情報取得加算（再診）,1点,1,1点
再診,保険,同日再診料,75点,3,225点
再診,保険,外来感染対策向上加算（再診）,6点,1574,9，444点
再診,自費,外来感染対策向上加算（再診）,6点,1,6点
再診,保険,外来管理加算,52点,1211,62，972点
再診,自費,外来管理加算,52点,1,52点
再診,保険,夜間・早朝等加算（再診）,50点,214,10，700点
再診,保険,抗菌薬適正使用体制加算（再診）,5点,1574,7，870点
再診,自費,抗菌薬適正使用体制加算（再診）,5点,1,5点
再診,保険,明細書発行体制等加算,1点,2082,2，082点
再診,自費,明細書発行体制等加算,1点,1,1点
再診,保険,発熱患者等対応加算（再診）,20点,201,4，020点
再診,保険,連携強化加算（再診）,3点,1574,4，722点
再診,自費,連携強化加算（再診）,3点,1,3点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（１月目）,280点,1,280点
医学管理,保険,アレルギー性鼻炎免疫療法治療管理料（２月目以降）,25点,178,4，450点
医学管理,保険,サーベイランス強化加算（医学管理等）,1点,565,565点
医学管理,保険,乳幼児夜間加算（小児科再診）（小児科外来診療料）,65点,46,2，990点
医学管理,保険,乳幼児夜間加算（小児科初診）（小児科外来診療料）,85点,44,3，740点
医学管理,保険,傷病手当金意見書交付料,100点,1,100点
医学管理,保険,医療情報取得加算（再診）（医学管理等）,1点,136,136点
医学管理,保険,医療情報取得加算（初診）（医学管理等）,1点,350,350点
医学管理,保険,医療ＤＸ推進体制整備加算１（医学管理等）,12点,350,4，200点
医学管理,保険,外来感染対策向上加算（医学管理等）,6点,565,3，390点
医学管理,保険,小児抗菌薬適正使用支援加算（小児科外来診療料）,80点,185,14，800点
医学管理,保険,小児科外来診療料（処方箋を交付）再診時,410点,468,191，880点
医学管理,保険,小児科外来診療料（処方箋を交付）初診時,604点,350,211，400点
医学管理,保険,抗菌薬適正使用体制加算（医学管理等）,5点,565,2，825点
医学管理,保険,特定疾患療養管理料（診療所）,225点,4,900点
医学管理,保険,発熱患者等対応加算（医学管理等）,20点,369,7，380点
医学管理,保険,診療情報提供料（１）,250点,36,9，000点
医学管理,保険,連携強化加算（医学管理等）,3点,565,1，695点
医学管理,保険,難病外来指導管理料,270点,3,810点
医学管理,保険,高度難聴指導管理料（イ以外）,420点,4,1，680点
在宅,保険,在宅持続陽圧呼吸療法指導管理料２,250点,81,20，250点
在宅,保険,在宅持続陽圧呼吸療法材料加算,100点,83,8，300点
在宅,保険,在宅持続陽圧呼吸療法用治療器加算（ＣＰＡＰを使用）,960点,83,79，680点
在宅,保険,在宅自己注射指導管理料（１以外）（月２７回以下）,650点,1,650点
投薬,保険,一般名処方加算１（処方箋料）,10点,1224,12，240点
投薬,自費,一般名処方加算１（処方箋料）,10点,1,10点
投薬,保険,一般名処方加算２（処方箋料）,8点,712,5，696点
投薬,保険,処方箋料（リフィル以外・その他）,60点,2942,176，520点
投薬,自費,処方箋料（リフィル以外・その他）,60点,5,300点
投薬,保険,特定疾患処方管理加算（処方箋料）,56点,3,168点
注射,保険,点滴注射（その他）（入院外）,53点,3,159点
注射,保険,皮内、皮下及び筋肉内注射,25点,8,200点
処置,保険,副鼻腔洗浄（その他）（片）,25点,72,1，800点
処置,保険,副鼻腔自然口開大処置,25点,1572,39，300点
処置,自費,副鼻腔自然口開大処置,25点,3,75点
処置,保険,扁桃処置,40点,1,40点
処置,保険,耳処置,27点,310,8，370点
処置,保険,耳垢栓塞除去（複雑）（両）,160点,110,17，600点
処置,保険,耳垢栓塞除去（複雑）（片）,90点,35,3，150点
処置,保険,耳管処置１（片）,36点,6,216点
処置,保険,膿腫穿刺,80点,1,80点
処置,保険,超音波ネブライザ,24点,1004,24，096点
処置,自費,超音波ネブライザ,24点,2,48点
処置,保険,鼓室処置（片）,62点,11,682点
処置,保険,鼻処置,16点,1582,25，312点
処置,自費,鼻処置,16点,3,48点
処置,保険,鼻出血止血法,240点,3,720点
手術,保険,イオントフォレーゼ加算,45点,9,405点
手術,保険,咽頭異物摘出術（簡単）,500点,1,500点
手術,保険,外耳道異物除去術（単純）,260点,4,1，040点
手術,保険,鼓膜切開術,830点,8,6，640点
手術,保険,鼓膜（排液、換気）チューブ挿入術,2，670点,1,2，670点
手術,保険,鼻腔粘膜焼灼術,1，080点,7,7，560点
検査,保険,γ－ＧＴ,11点,3,33点
検査,保険,カリウム,11点,3,33点
検査,保険,クレアチニン,11点,3,33点
検査,保険,グルコース,11点,2,22点
検査,保険,グロブリンクラス別ウイルス抗体価（ＥＢ）,200点,1,200点
検査,保険,チンパノメトリー,340点,59,20，060点
検査,自費,チンパノメトリー,340点,1,340点
検査,保険,ナトリウム及びクロール,11点,3,33点
検査,保険,パワー・ベクトル分析加算（平衡機能検査）,200点,7,1，400点
検査,保険,ビタミンＢ１２,136点,3,408点
検査,保険,免疫学的検査判断料,144点,84,12，096点
検査,保険,平衡機能検査（標準検査）,20点,103,2，060点
検査,保険,平衡機能検査（赤外線ＣＣＤカメラ等）,300点,88,26，400点
検査,保険,平衡機能検査（重心動揺計）,250点,7,1，750点
検査,保険,微生物学的検査判断料,150点,23,3，450点
検査,保険,末梢血液一般検査,21点,6,126点
検査,保険,末梢血液像（自動機械法）,15点,3,45点
検査,保険,検査逓減,-10%,46,-2，735点
検査,保険,標準純音聴力検査,350点,238,83，300点
検査,自費,標準純音聴力検査,350点,1,350点
検査,保険,淋菌及びクラミジア・トラコマチス同時核酸検出,262点,1,262点
検査,保険,特異的ＩｇＥ半定量・定量,110点,2379,75，790点
検査,保険,生化学的検査（１）判断料,144点,6,864点
検査,保険,簡易聴力検査（気導純音聴力）,110点,44,4，840点
検査,保険,細菌培養同定検査（その他）,180点,18,3，240点
検査,保険,細菌培養同定検査（口腔）,180点,1,180点
検査,保険,細菌培養同定検査（気道）,180点,3,540点
検査,保険,細菌薬剤感受性検査（１菌種）,185点,7,1，295点
検査,保険,細菌薬剤感受性検査（２菌種）,240点,1,240点
検査,保険,終夜睡眠ポリグラフィー（携帯用装置使用）,720点,4,2，880点
検査,保険,耳鳴検査,400点,1,400点
検査,保険,脳波検査判断料２,180点,4,720点
検査,保険,血液学的検査判断料,125点,6,750点
検査,保険,超音波検査（断層撮影法）（その他）,350点,24,8，400点
検査,保険,非特異的ＩｇＥ定量,100点,53,5，300点
検査,保険,鼻腔・咽頭拭い液採取,25点,33,825点
検査,保険,Ａ群β溶連菌迅速試験定性,121点,13,1，573点
検査,保険,ＡＬＰ,11点,2,22点
検査,保険,ＡＬＴ,17点,3,51点
検査,保険,ＡＳＴ,17点,3,51点
検査,保険,Ａｌｂ（ＢＣＰ改良法・ＢＣＧ法）,11点,2,22点
検査,保険,Ａｍｙ,11点,2,22点
検査,保険,Ｂ－Ｖ,40点,59,2，360点
検査,保険,ＢＩＬ／総,11点,3,33点
検査,保険,ＢＵＮ,11点,3,33点
検査,保険,ＣＲＰ,16点,2,32点
検査,保険,ＣｈＥ,11点,3,33点
検査,保険,Ｃｕ,23点,3,69点
検査,保険,ＥＦ－中耳,240点,3,720点
検査,保険,ＥＦ－喉頭,600点,120,72，000点
検査,自費,ＥＦ－喉頭,600点,1,600点
検査,保険,ＥＦ－嗅裂・鼻咽腔・副鼻腔,600点,412,247，200点
