日,総診療報酬 (点),初診 (点),再診 (点),管理 (点),在宅 (点),投薬 (点),注射 (点),処置 (点),手術 (点),麻酔 (点),検査 (点),画像 (点),リハ (点),精神 (点),療担 (点),病理･他 (点)
1日(月),84520,14675,9126,14273,5260,6292,0,5125,5243,0,22431,0,0,0,0,2095
2日(火),108115,22340,10025,21020,5260,6994,0,5765,1967,0,27371,4520,0,0,0,2853
3日(水),85000,18575,7916,15596,5260,5802,0,4413,1375,0,22649,1130,0,0,0,2284
4日(木),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5日(金),100294,20135,10344,17297,1315,7514,5391,6964,1092,0,24235,3390,0,0,0,2617
6日(土),68387,11840,7259,16119,5910,4412,0,2920,2184,0,13732,2260,0,0,0,1751
7日(日),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8日(月),119652,24570,14002,24911,5260,9178,0,8392,500,0,28279,1130,0,0,0,3430
9日(火),79240,19145,8644,14775,1315,5964,152,5428,0,0,20259,1130,0,0,0,2428
10日(水),88523,17835,7992,24563,1315,5314,152,5433,1092,0,21141,1130,0,0,0,2556
11日(木),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12日(金),114323,23656,10930,20095,1315,8204,5543,6880,1092,0,31308,2260,0,0,0,3040
13日(土),86538,15800,10528,18557,3690,6660,0,4756,1092,0,22008,1130,0,0,0,2317
14日(日),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15日(月),99002,23385,10283,18528,0,8542,0,6059,2184,0,23708,3390,0,0,0,2923
16日(火),90478,16635,7997,21210,3945,6102,0,4567,5159,0,21346,1130,0,0,0,2387
17日(水),78641,17680,8257,16604,2630,5778,0,5035,875,0,17202,2260,0,0,0,2320
18日(木),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19日(金),103217,21155,10130,16780,3945,7700,5543,6160,0,0,26836,2260,0,0,0,2708
20日(土),78039,13981,10451,16338,5260,6080,152,3962,0,0,19699,0,0,0,0,2116
21日(日),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22日(月),102700,18176,11178,22510,4595,7526,95,6051,0,0,28738,1130,0,0,0,2701
23日(火),86248,16075,8345,18753,2630,6136,95,4818,2860,0,22017,2260,0,0,0,2259
24日(水),87874,18196,8072,17986,7890,6108,0,4727,0,0,20230,2260,0,0,0,2405
25日(木),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26日(金),107271,18461,10785,19559,10520,7198,5391,4484,1092,0,22673,4520,0,0,0,2588
27日(土),78011,15835,9398,16964,10520,6044,0,4022,260,0,10480,2260,0,0,0,2228
28日(日),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29日(月),121534,20220,12860,23663,13150,8842,0,5740,0,0,30715,3390,0,0,0,2954
30日(火),89165,17325,10224,16029,6575,6914,0,3979,562,0,22908,2260,0,0,0,2389
総数,2056772,405695,214746,412130,107560,149304,22514,115680,28629,0,499965,45200,0,0,0,55349
平均,93490,18441,9761,18733,4889,6787,1023,5258,1301,0,22726,2055,0,0,0,2516
前月,2164641,450066,229442,385441,122030,162158,27449,141197,32697,0,553025,46780,0,0,0,14356
前月比,95,90,94,107,88,92,82,82,88,0,90,97,0,0,0,386
前年同月,1999962,431665,183136,439671,83170,145110,11064,124398,43831,0,491585,32770,0,0,0,13562
前年同月比,103,94,117,94,129,103,203,93,65,0,102,138,0,0,0,408
