種別,薬品名称,メーカー,卸,薬効,合計使用量,単位,薬価ベース,納入ベース,薬価差益,差益率
4,アスベリン散１０％,ニプロＥＳ,,,91.35,g,1589.49,,,
4,アスベリンシロップ０．５％,ニプロＥＳ,,,2836.00,mL,7231.80,,,
1,アズノールうがい液４％,ロートニッテン,,,156.00,本,37908.00,,,
4,アセトアミノフェン,,,,37.50,g,281.25,,,
1,アセトアミノフェン錠５００ｍｇ「マルイシ」,丸石,,,21.00,T,235.20,,,
4,アデホスコーワ顆粒１０％,興和,,,3441.00,g,53335.50,,,
3,アドエア２５０ディスカス６０吸入用,ＧＳＫ,,,2.00,kit,7250.60,,,
4,アドナ錠３０ｍｇ,ニプロＥＳ,,,21.00,T,128.10,,,
2,アラミスト点鼻液２７．５μｇ５６噴霧用,ＧＳＫ,,,556.00,kit,255593.20,,,
2,アレグラ錠３０ｍｇ,サノフィ,,,120.00,T,1248.00,,,
2,アレグラ錠６０ｍｇ,サノフィ,,,572.00,T,5948.80,,,
3,アレサガテープ４ｍｇ,久光,,,30.00,枚,1614.00,,,
3,アレジオン眼瞼クリーム０．５％,参天,,,16.00,個,53974.40,,,
2,アレジオン点眼液０．０５％,参天,,,5.00,本,2015.00,,,
2,アレジオンＬＸ点眼液０．１％,参天,,,161.00,本,234797.50,,,
2,アレロック顆粒０．５％,協和キリン,,,820.00,g,16974.00,,,
2,アレロックＯＤ錠５,協和キリン,,,4644.00,T,48297.60,,,
1,アロプリノール１００ｍｇ錠,,,,30.00,T,240.00,,,
4,アンヒバ坐剤小児用１００ｍｇ,ヴィアトリス,,,10.00,個,209.00,,,
4,アンヒバ坐剤小児用２００ｍｇ,ヴィアトリス,,,5.00,個,104.50,,,
4,イソソルビド内用液７０％分包３０ｍＬ「ＣＥＯ」,セオリア,,,90.00,包,8973.00,,,
4,イソソルビド内服ゼリー７０％分包３０ｇ「日医工」,三和化学,,,42.00,個,4187.40,,,
4,イソバイドシロップ７０％分包３０ｍＬ,興和,,,1222.00,包,90672.40,,,
3,イナビル吸入粉末剤２０ｍｇ,第一三共,,,15.00,kit,31471.50,,,
3,エクラープラスター２０μｇ／ｃｍ２,久光,,,2.00,袋,75.40,,,
1,ＳＰトローチ０．２５ｍｇ「明治」,ＭｅｉｊｉＳｅｉｋａ,,,942.00,T,5557.80,,,
1,エバスチンＯＤ錠１０ｍｇ「ＮＰ」,ニプロ,,,60.00,T,1314.00,,,
3,エリザス点鼻粉末２００μｇ２８噴霧用,日本新薬,,,28.00,V,22394.40,,,
4,オーグメンチン配合錠２５０ＲＳ,ＧＳＫ,,,66.00,T,3016.20,,,
5,オースギ小青竜湯エキスＴ錠,大杉,,,843.00,包,30853.80,,,
5,オースギ半夏厚朴湯エキスＴ錠,大杉,,,468.00,包,17784.00,,,
2,オゼックス細粒小児用１５％,富士フイルム富山化学,,,14.00,g,1559.60,,,
2,オノンカプセル１１２．５ｍｇ,小野,,,840.00,C,11256.00,,,
2,オノンドライシロップ１０％,小野,,,109.00,g,2452.50,,,
4,カロナール細粒２０％,あゆみ製薬,,,11.25,g,137.25,,,
1,カロナール錠２００,あゆみ製薬,,,1007.00,T,6142.70,,,
1,カロナール錠３００,あゆみ製薬,,,100.00,T,610.00,,,
1,カロナール錠５００,あゆみ製薬,,,952.00,T,10662.40,,,
1,カロナールシロップ２％,あゆみ製薬,,,385.00,mL,1886.50,,,
2,キプレス細粒４ｍｇ,杏林,,,7.00,包,129.50,,,
2,キプレス錠１０ｍｇ,杏林,,,6683.00,T,92225.40,,,
2,キプレスチュアブル錠５ｍｇ,杏林,,,464.00,T,8398.40,,,
2,キンダベート軟膏０．０５％,ＧＳＫ,,,29.00,個,1145.50,,,
5,クラシエ五苓散料エキス細粒,クラシエ,,,28.00,包,1192.80,,,
5,クラシエ小青竜湯エキス錠,大峰堂,,,180.00,包,4968.00,,,
5,クラシエ人参養栄湯エキス細粒,クラシエ,,,60.00,包,5017.50,,,
5,クラシエ半夏厚朴湯エキス細粒,クラシエ,,,116.00,包,5742.00,,,
5,クラシエ半夏厚朴湯エキス錠,大峰堂,,,474.00,包,16305.60,,,
5,クラシエ半夏白朮天麻湯エキス細粒,大峰堂,,,30.00,包,1770.00,,,
4,クラリス錠２００,大正製薬,,,679.00,T,16907.10,,,
2,クラリチンレディタブ錠１０ｍｇ,バイエル,,,30.00,T,444.00,,,
3,クリアナール錠２００ｍｇ,田辺三菱,,,4276.00,T,44470.40,,,
4,ケフラールカプセル２５０ｍｇ,共和薬品,,,21.00,C,1148.70,,,
5,コタロー麻黄附子細辛湯エキスカプセル,小太郎,,,420.00,C,10500.00,,,
5,コタロー苓桂朮甘湯エキス細粒,小太郎,,,90.00,包,1512.00,,,
3,コムレクス耳科用液１．５％,セオリア,,,3.00,V,4704.30,,,
3,コレクチム軟膏０．５％,日本たばこ,,,3.00,個,2145.00,,,
3,サリベートエアゾール,帝人ファーマ,,,1.00,個,369.10,,,
4,サワシリン錠２５０,ＬＴＬ,,,84.00,T,1285.20,,,
4,サワシリンカプセル２５０,ＬＴＬ,,,5731.00,C,87684.30,,,
2,ザイザル錠５ｍｇ,ＧＳＫ,,,1440.00,T,17712.00,,,
2,ザイザルシロップ０．０５％,ＧＳＫ,,,4297.50,mL,29652.75,,,
3,シダキュアスギ花粉舌下錠５，０００ＪＡＵ,鳥居,,,5112.00,T,746863.20,,,
2,シムビコートタービュヘイラー３０吸入,アストラゼネカ,,,18.00,kit,12290.40,,,
2,小児用ムコソルバンシロップ０．３％,帝人ファーマ,,,63.00,mL,340.20,,,
2,小児用ムコソルバンＤＳ１．５％,帝人ファーマ,,,31.50,g,611.10,,,
3,ジェニナック錠２００ｍｇ,富士フイルム富山化学,,,14.00,T,1951.60,,,
1,ジオクチルソジウムスルホサクシネート耳科用液５％「ＣＥＯ」,セオリア,,,3.00,本,1191.00,,,
4,ストミンＡ配合錠,ＮＩＳＳＨＡゾンネ,,,348.00,T,2122.80,,,
2,セファドール錠２５ｍｇ,日本新薬,,,993.00,T,5858.70,,,
3,ゼペリン点眼液０．１％,わかもと,,,46.00,V,22043.20,,,
3,ゾコーバ錠１２５ｍｇ,塩野義,,,21.00,T,148890.00,,,
3,ゾフルーザ錠２０ｍｇ,塩野義,,,92.00,T,224369.60,,,
3,タケキャブ錠２０ｍｇ,武田,,,70.00,T,9870.00,,,
2,タミフルカプセル７５,中外,,,234.00,C,25201.80,,,
2,タミフルドライシロップ３％,中外,,,7050.00,mg,18682.10,,,
2,タリオン錠１０ｍｇ,田辺三菱,,,7308.00,T,76003.20,,,
4,タリビッド耳科用液０．３％,アルフレッサファーマ,,,1.00,本,556.00,,,
4,単シロップ,,,,28.00,mL,15.40,,,
5,ツムラ葛根湯エキス顆粒（医療用）,ツムラ,,,63.00,包,2110.50,,,
5,ツムラ葛根湯加川きゅう辛夷エキス顆粒（医療用）,ツムラ,,,334.00,包,8433.50,,,
5,ツムラ加味帰脾湯エキス顆粒（医療用）,ツムラ,,,516.00,包,33540.00,,,
5,ツムラ桔梗湯エキス顆粒（医療用）,ツムラ,,,303.00,包,5075.25,,,
5,ツムラ荊芥連翹湯エキス顆粒（医療用）,ツムラ,,,126.00,包,5859.00,,,
5,ツムラ桂枝茯苓丸エキス顆粒（医療用）,ツムラ,,,42.00,包,1480.50,,,
5,ツムラ牛車腎気丸エキス顆粒（医療用）,ツムラ,,,84.00,包,3717.00,,,
5,ツムラ五苓散エキス顆粒（医療用）,ツムラ,,,231.00,包,7854.00,,,
5,ツムラ柴朴湯エキス顆粒（医療用）,ツムラ,,,438.00,包,37230.00,,,
5,ツムラ柴苓湯エキス顆粒（医療用）,ツムラ,,,174.00,包,23490.00,,,
5,ツムラ小柴胡湯加桔梗石膏エキス顆粒（医療用）,ツムラ,,,63.00,包,5859.00,,,
5,ツムラ小半夏加茯苓湯エキス顆粒（医療用）,ツムラ,,,360.00,包,9630.00,,,
5,ツムラ滋陰降火湯エキス顆粒（医療用）,ツムラ,,,294.00,包,13156.50,,,
5,ツムラ十全大補湯エキス顆粒（医療用）,ツムラ,,,35.00,包,1610.00,,,
5,ツムラ釣藤散エキス顆粒（医療用）,ツムラ,,,168.00,包,14574.00,,,
5,ツムラ当帰四逆加呉茱萸生姜湯エキス顆粒（医療用）,ツムラ,,,84.00,包,3486.00,,,
5,ツムラ当帰芍薬散エキス顆粒（医療用）,ツムラ,,,792.00,包,29502.00,,,
5,ツムラ半夏厚朴湯エキス顆粒（医療用）,ツムラ,,,899.00,包,32813.50,,,
5,ツムラ半夏白朮天麻湯エキス顆粒（医療用）,ツムラ,,,684.00,包,39672.00,,,
5,ツムラ麦門冬湯エキス顆粒（医療用）,ツムラ,,,405.00,包,20047.50,,,
5,ツムラ補中益気湯エキス顆粒（医療用）,ツムラ,,,153.00,包,8606.25,,,
5,ツムラ防風通聖散エキス顆粒（医療用）,ツムラ,,,90.00,包,3105.00,,,
5,ツムラ抑肝散エキス顆粒（医療用）,ツムラ,,,252.00,包,10143.00,,,
5,ツムラ苓桂朮甘湯エキス顆粒（医療用）,ツムラ,,,412.50,g,2763.75,,,
4,テグレトール錠２００ｍｇ,サンファーマ,,,60.00,T,462.00,,,
3,テリルジー１００エリプタ３０吸入用,ＧＳＫ,,,1.00,kit,8502.30,,,
2,ディフェリンゲル０．１％,マルホ,,,1.00,個,291.00,,,
2,ディレグラ配合錠,ＬＴＬ,,,4420.00,T,67184.00,,,
3,デエビゴ錠５ｍｇ,エーザイ,,,95.00,T,6773.50,,,
1,デキサメタゾン口腔用軟膏０．１％「ＮＫ」,日本化薬,,,12.00,個,2220.00,,,
3,デザレックス錠５ｍｇ,オルガノン,,,3640.00,T,140868.00,,,
3,デュピクセント皮下注３００ｍｇペン,サノフィ,,,10.00,kit,536590.00,,,
4,トラベルミン配合錠,アルフレッサファーマ,,,90.00,T,549.00,,,
4,トランサミン散５０％,第一三共,,,122.00,g,1256.60,,,
4,トランサミン錠２５０ｍｇ,第一三共,,,25404.00,T,264201.60,,,
1,ドンペリドン錠１０ｍｇ「ＮＩＧ」,日医工岐阜,,,5.00,T,30.50,,,
2,ナウゼリンＯＤ錠１０,協和キリン,,,5.00,T,30.50,,,
2,ナゾネックス点鼻液５０μｇ５６噴霧用,オルガノン,,,365.00,V,135232.50,,,
4,乳糖水和物,,,,150.00,g,220.50,,,
4,ネオメドロールＥＥ軟膏,ファイザー,,,8.00,本,984.00,,,
2,ネキシウムカプセル２０ｍｇ,アストラゼネカ,,,67.00,C,2532.60,,,
2,ノベルジン錠５０ｍｇ,ノーベル,,,56.00,T,7711.20,,,
2,バルトレックス錠５００,ＧＳＫ,,,10.00,T,675.00,,,
2,パタノール点眼液０．１％,ノバルティス,,,73.00,本,12738.50,,,
2,ヒアレイン点眼液０．１％,参天,,,6.00,V,555.00,,,
4,ヒルドイドローション０．３％,マルホ,,,3.00,個,450.00,,,
4,ヒルドイドソフト軟膏０．３％,マルホ,,,5.00,個,1500.00,,,
3,ビラノア錠２０ｍｇ,大鵬薬品,,,3125.00,T,152187.50,,,
3,ビラノアＯＤ錠２０ｍｇ,大鵬薬品,,,3871.00,T,190066.10,,,
1,フェキソフェナジン塩酸塩ＤＳ５％「トーワ」,東和薬品,,,3489.00,g,101529.90,,,
4,フスコデ配合錠,ヴィアトリスＨＣ,,,555.00,T,3940.50,,,
1,フスコデ配合シロップ,ヴィアトリスＨＣ,,,840.00,mL,5796.00,,,
4,フスタゾール糖衣錠１０ｍｇ,ニプロＥＳ,,,322.00,T,1964.20,,,
3,フルティフォーム１２５エアゾール１２０吸入用,杏林,,,1.00,V,4340.40,,,
2,フルナーゼ点鼻液５０μｇ５６噴霧用,ＧＳＫ,,,3.00,V,1308.90,,,
2,フルメトロン点眼液０．０２％,参天,,,5.00,本,462.50,,,
1,ブロチゾラムＯＤ錠０．２５ｍｇ「ＪＧ」,大興,,,30.00,T,312.00,,,
4,プリンペラン錠５,日医工,,,201.00,T,1185.90,,,
4,プレドニゾロン錠１ｍｇ（旭化成）,旭化成ファーマ,,,72.00,T,619.20,,,
4,プレドニン錠５ｍｇ,シオノギファーマ,,,14.00,T,141.40,,,
4,プロペト,丸石,,,450.00,g,1093.50,,,
4,ベストロン耳鼻科用１％,千寿,,,50.00,本,23175.00,,,
1,ベタメタゾン錠０．５ｍｇ「サワイ」,沢井,,,10.00,T,104.00,,,
2,ホクナリンテープ１ｍｇ,ヴィアトリス,,,56.00,枚,840.00,,,
2,ホクナリンテープ２ｍｇ,ヴィアトリス,,,21.00,袋,472.50,,,
4,ホスミシン錠５００,ＭｅｉｊｉＳｅｉｋａ,,,42.00,T,2843.40,,,
4,マイザー軟膏０．０５％,田辺三菱,,,10.00,個,555.00,,,
2,マイスリー錠５ｍｇ,アステラス,,,44.00,T,457.60,,,
2,ミオナール錠５０ｍｇ,エーザイ,,,180.00,T,1098.00,,,
3,ミティキュアダニ舌下錠３，３００ＪＡＵ,鳥居,,,28.00,T,1836.80,,,
3,ミティキュアダニ舌下錠１０，０００ＪＡＵ,鳥居,,,1738.00,T,343776.40,,,
4,ミヤＢＭ細粒,ミヤリサン,,,55.00,g,357.50,,,
4,ミヤＢＭ錠,ミヤリサン,,,210.00,T,1239.00,,,
4,ムコスタ錠１００ｍｇ,大塚製薬,,,275.00,T,2860.00,,,
2,ムコソルバン錠１５ｍｇ,帝人ファーマ,,,793.00,T,4678.70,,,
4,ムコダイン錠２５０ｍｇ,杏林,,,45346.00,T,471598.40,,,
4,ムコダイン錠５００ｍｇ,杏林,,,105.00,T,1092.00,,,
2,ムコダインシロップ５％,杏林,,,6918.00,mL,18678.60,,,
2,ムコダインＤＳ５０％,杏林,,,3380.00,g,42250.00,,,
4,メジコン散１０％,シオノギファーマ,,,263.80,g,5487.04,,,
4,メジコン錠１５ｍｇ,シオノギファーマ,,,8110.00,T,47849.00,,,
4,メジコン配合シロップ,シオノギファーマ,,,98.00,mL,156.80,,,
1,メチコバール錠５００μｇ,エーザイ,,,4509.00,T,26603.10,,,
2,メトリジンＤ錠２ｍｇ,大正製薬,,,348.00,T,2122.80,,,
4,メプチンエアー１０μｇ吸入１００回,大塚製薬,,,2.00,kit,2121.80,,,
2,メリスロン錠６ｍｇ,エーザイ,,,3296.00,T,20764.80,,,
3,ラスビック錠７５ｍｇ,杏林,,,105.00,T,29179.50,,,
1,リザトリプタンＯＤ錠１０ｍｇ「ＴＣＫ」,辰巳,,,10.00,T,710.00,,,
2,リリカＯＤ錠２５ｍｇ,ヴィアトリス,,,300.00,T,2130.00,,,
4,リンデロン点眼・点耳・点鼻液０．１％,シオノギファーマ,,,19.00,本,1235.00,,,
4,リンデロン－ＶＧ軟膏０．１２％,シオノギファーマ,,,69.00,個,9556.50,,,
3,ルパフィン錠１０ｍｇ,帝國製薬,,,5156.00,T,218614.40,,,
4,レスプレン錠２０ｍｇ,太陽ファルマ,,,4487.00,T,48459.60,,,
1,レボセチリジン塩酸塩錠２．５ｍｇ「タカタ」,高田,,,854.00,T,8967.00,,,
1,レボセチリジン塩酸塩ＤＳ０．５％「タカタ」,高田,,,491.00,g,22929.70,,,
1,レボセチリジン塩酸塩ＯＤ錠２．５ｍｇ「タカタ」,高田,,,1842.00,T,19341.00,,,
1,レボセチリジン塩酸塩ＯＤ錠５ｍｇ「ＹＤ」,陽進堂,,,30.00,T,369.00,,,
3,レルベア１００エリプタ３０吸入用,ＧＳＫ,,,1.00,kit,4829.90,,,
3,レルベア２００エリプタ３０吸入用,ＧＳＫ,,,2.00,kit,10441.60,,,
2,ロキソニン錠６０ｍｇ,第一三共,,,1677.00,T,16937.70,,,
4,ロキソニンテープ５０ｍｇ,リードケミカル,,,5.00,袋,444.50,,,
1,ワイドシリン細粒２０％,ＭｅｉｊｉＳｅｉｋａ,,,506.25,g,5973.75,,,
